北京	国网北京市电力公司
绍兴	国网浙江省电力公司
金华	国网浙江省电力公司
衢州	国网浙江省电力公司
舟山	国网浙江省电力公司
台州	国网浙江省电力公司
丽水	国网浙江省电力公司
合肥	国网安徽省电力公司
芜湖	国网安徽省电力公司
蚌埠	国网安徽省电力公司
淮南	国网安徽省电力公司
马鞍山	国网安徽省电力公司
淮北	国网安徽省电力公司
铜陵	国网安徽省电力公司
安庆	国网安徽省电力公司
黄山	国网安徽省电力公司
滁州	国网安徽省电力公司
阜阳	国网安徽省电力公司
宿州	国网安徽省电力公司
亳州	国网安徽省电力公司
池州	国网安徽省电力公司
宣城	国网安徽省电力公司
福州	国网福建省电力有限公司
厦门	国网福建省电力有限公司
莆田	国网福建省电力有限公司
三明	国网福建省电力有限公司
泉州	国网福建省电力有限公司
南平	国网福建省电力有限公司
龙岩	国网福建省电力有限公司
宁德	国网福建省电力有限公司
南昌	国网江西省电力公司
景德镇	国网江西省电力公司
萍乡	国网江西省电力公司
九江	国网江西省电力公司
新余	国网江西省电力公司
鹰潭	国网江西省电力公司
赣州	国网江西省电力公司
吉安	国网江西省电力公司
宜春	国网江西省电力公司
抚州	国网江西省电力公司
上饶	国网江西省电力公司
济南	国网山东省电力公司
青岛	国网山东省电力公司
淄博	国网山东省电力公司
枣庄	国网山东省电力公司
烟台	国网山东省电力公司
潍坊	国网山东省电力公司
济宁	国网山东省电力公司
泰安	国网山东省电力公司
威海	国网山东省电力公司
日照	国网山东省电力公司
临沂	国网山东省电力公司
德州	国网山东省电力公司
聊城	国网山东省电力公司
滨州	国网山东省电力公司
菏泽	国网山东省电力公司
开封	国网河南省电力公司
平顶山	国网河南省电力公司
安阳	国网河南省电力公司
鹤壁	国网河南省电力公司
新乡	国网河南省电力公司
焦作	国网河南省电力公司
濮阳	国网河南省电力公司
许昌	国网河南省电力公司
漯河	国网河南省电力公司
三门峡	国网河南省电力公司
南阳	国网河南省电力公司
商丘	国网河南省电力公司
信阳	国网河南省电力公司
周口	国网河南省电力公司
驻马店	国网河南省电力公司
武汉	国网湖北省电力公司
黄石	国网湖北省电力公司
十堰	国网湖北省电力公司
宜昌	国网湖北省电力公司
襄阳	国网湖北省电力公司
鄂州	国网湖北省电力公司
荆门	国网湖北省电力公司
孝感	国网湖北省电力公司
荆州	国网湖北省电力公司
咸宁	国网湖北省电力公司
随州	国网湖北省电力公司
株洲	国网湖南省电力公司
湘潭	国网湖南省电力公司
衡阳	国网湖南省电力公司
邵阳	国网湖南省电力公司
岳阳	国网湖南省电力公司
常德	国网湖南省电力公司
张家界	国网湖南省电力公司
益阳	国网湖南省电力公司
怀化	国网湖南省电力公司
自贡	国网四川省电力公司
攀枝花	国网四川省电力公司
德阳	国网四川省电力公司
南充	国网四川省电力公司
眉山	国网四川省电力公司
雅安	国网四川省电力公司
巴中	国网四川省电力公司
资阳	国网四川省电力公司
保山	云南保山电力股份有限公司
拉萨	国网西藏电力有限公司
日喀则	国网西藏电力有限公司
昌都	国网西藏电力有限公司
林芝	国网西藏电力有限公司
山南	国网西藏电力有限公司
那曲	国网西藏电力有限公司
铜川	国网陕西省电力有限公司
宝鸡	国网陕西省电力有限公司
渭南	国网陕西省电力有限公司
延安	国网陕西省电力有限公司
汉中	国网陕西省电力有限公司
榆林	国网陕西省电力有限公司
安康	国网陕西省电力有限公司
商洛	国网陕西省电力有限公司
兰州	国网甘肃省电力公司
嘉峪关	国网甘肃省电力公司
金昌	国网甘肃省电力公司
白银	国网甘肃省电力公司
天水	国网甘肃省电力公司
武威	国网甘肃省电力公司
张掖	国网甘肃省电力公司
平凉	国网甘肃省电力公司
酒泉	国网甘肃省电力公司
庆阳	国网甘肃省电力公司
定西	国网甘肃省电力公司
陇南	国网甘肃省电力公司
西宁	国网青海省电力公司
海东	国网青海省电力公司
银川	国网宁夏电力公司
石嘴山	国网宁夏电力公司
吴忠	国网宁夏电力公司
固原	国网宁夏电力公司
中卫	国网宁夏电力公司
乌鲁木齐	国网新疆电力公司
克拉玛依	国网新疆电力公司
吐鲁番	国网新疆电力公司
哈密	国网新疆电力公司
西安 国网陕西省电力有限公司
西安 蓝天县城燃天然气有限公司
西安  西安华润燃气有限公司
西安  西安秦华燃气集团有限公司
西安  西安市长安天然气有限责任公司
西安  陕西延长中燃能源发展有限公司
西安  西安中燃百江德高能源有限公司
西安  西安中燃城市燃气发展有限公司
西安  周至延长中燃能源发展有限公司

双鸭山	友谊县清源供水有限公司
双鸭山	双鸭山市自来水公司
双鸭山	饶河县龙源供水有限责任公司
大庆	大庆市水务集团有限公司
大庆	大龙供水
大庆	林甸县自来水公司
大庆	肇源县农村供水（连心井）缴费平台
伊春	铁力市多元水务有限公司
伊春	南岔县供水服务中心
佳木斯	佳木斯龙江环保供水有限公司
佳木斯	同江市自来水公司
佳木斯	富锦市城市供水有限责任公司
佳木斯	桦南县清源供水有限公司
佳木斯	汤原县自来水有限责任公司
七台河	勃利县清源供水有限责任公司
牡丹江	东宁市绥阳润泽自来水有限公司
牡丹江	牡丹江龙江环保供水有限公司
牡丹江	绥芬河中环水务有限公司
黑河	北安市供水服务中心
绥化	兰西县供水公司
绥化	望奎县供水服务中心
绥化	绥棱县润泽二次供水服务有限公司
绥化	绥棱县自来水有限公司
绥化	青冈县银河供水公司
南京	南京水务集团有限公司
南京	南京江宁水务集团有限公司（银行代缴）
南京	南京丰源水务建设有限公司
南京	南京冶山水务有限公司
南京	南京市六合区城西自来水有限公司
南京	南京市六合区瓜埠自来水厂
南京	南京市江宁区湖熟自来水厂
南京	南京市溧水区自来水有限公司
南京	南京市高淳区漆桥自来水厂
南京	南京棠邑水务有限公司
南京	南京横梁水务有限公司
南京	南京泉水水务有限公司（竹镇）
南京	南京浦口自来水有限公司
南京	南京长芦水务有限公司
南京	南京青龙水务有限公司（金牛湖）
南京	南京龙池水务有限公司
南京	南京龙袍水务有限公司（东沟）
南京	南京龙袍水务有限公司（龙袍）
南京	高淳县丹湖自来水厂
南京	高淳县阳江镇沧溪自来水厂
无锡	宜兴水务集团有限公司
无锡	无锡市水务集团有限公司
无锡	江苏江南水务股份有限公司（江阴）
徐州	徐州首创水务有限责任公司
徐州	徐州市泉城水务有限公司
徐州	徐州市铜山区自来水有限公司
徐州	徐州康宏供水有限责任公司
徐州	徐州经济技术开发区水务有限公司
徐州	新沂市乡镇供水有限公司
徐州	新沂市自来水有限公司
徐州	江苏汉之源水务有限公司
徐州	沛县兴蓉水务发展有限公司
徐州	沛县清源供水有限公司
徐州	沛县清源供水有限公司杨屯镇分公司
徐州	睢宁县自来水有限公司
徐州	邳州水务有限责任公司
徐州	邳州粤海水务有限公司
常州	常州通用自来水有限公司
常州	江河港武水务（常州）有限公司
常州	溧阳市上黄自来水管理有限公司
常州	溧阳新源水务有限公司
常州	溧阳水务集团有限公司
常州	金坛市自来水公司
苏州	昆山市自来水集团有限公司
苏州	苏州市自来水有限公司
苏州	吴江华衍水务有限公司
苏州	太仓市自来水有限公司
苏州	苏州工业园区清源华衍水务有限公司
苏州	江苏中法水务股份有限公司
苏州	苏州吴中供水有限公司（银行代缴）
苏州	苏州太湖国家旅游度假区自来水有限公司
苏州	苏州工业园区清源华衍水务有限公司（银行代缴）
苏州	苏州市相城区自来水公司（银行代缴）
苏州	苏州高新区自来水有限公司（银行代缴）
苏州	苏州高铁苏水水务有限公司
南通	南通市海门区海永自来水厂
南通	南通市通州区水务有限公司
南通	南通水务集团有限公司
南通	南通海江供水有限公司
南通	启东市吕四自来水厂有限公司
南通	启东市自来水厂有限公司
南通	如东县东泽源供水有限公司
南通	如皋市自来水厂有限公司
南通	新天地供水
南通	海安市水务集团供水有限公司
南通	海门市自来水有限公司
连云港	东海县城乡供水有限公司
连云港	东海县城乡供水有限公司石榴分公司
连云港	东海县自来水有限公司
连云港	灌云县清源水务有限公司
连云港	灌云县自来水有限公司
连云港	灌云恒泰水务有限公司
连云港	灌南县硕项湖自来水有限公司
连云港	连云港市浦南自来水有限责任公司
连云港	连云港市自来水有限责任公司
连云港	连云港市赣榆城建水务有限公司
连云港	连云港开发区中云自来水服务公司
连云港	连云港新锦源水务有限公司
淮安	淮安自来水有限公司
淮安	井源水务（洪泽）有限公司
淮安	洪泽区自来水公司
淮安	涟水县涟缘水务有限公司
淮安	润湖水务
淮安	淮安市淮安区农村供水有限公司
淮安	淮安市淮阴自来水有限公司
淮安	盱眙粤海水务有限公司
淮安	金湖县自来水有限责任公司
盐城	东台市自来水有限公司
盐城	响水县沿海自来水有限公司
盐城	响水县自来水有限公司
盐城	响水县运河自来水有限公司
盐城	射阳县农村水务有限公司
盐城	射阳水务有限责任公司
盐城	建湖县农村供水
盐城	建湖县自来水有限公司
盐城	滨海县自来水有限责任公司
盐城	盐城大丰自来水有限公司
盐城	盐城市水务集团有限公司
盐城	盐城市潘黄水务有限公司
盐城	盐城市盐都水务有限公司
盐城	盐城市盐龙水务有限公司
盐城	盐城经济技术开发区步凤镇自来水厂
盐城	阜宁县自来水有限公司
扬州	江苏长江水务股份有限公司(扬州城区)
扬州	江苏长江水务股份有限公司（银行代缴）
扬州	仪征市水达供水有限公司
扬州	仪征市长江自来水有限公司
扬州	仪征粤海水务有限公司
扬州	宝应县汇丰水务有限公司
扬州	宝应粤海水务有限公司
扬州	扬州市湖西供水有限责任公司
扬州	扬州江源供水有限公司
扬州	江都自来水有限公司
扬州	高邮市润邮供水有限公司
扬州	高邮粤海水务有限公司
镇江	丹阳水务集团有限公司
镇江	句容市宝华自来水有限公司
镇江	句容市水务集团有限公司
镇江	扬中市碧泉自来水有限公司
镇江	扬中金州水务有限公司
镇江	镇江市丹徒区新源供水有限公司
镇江	镇江市京口区新泓供水有限公司
镇江	镇江市自来水有限责任公司
镇江	镇江新区新港供水有限公司
泰州	泰州市水务有限公司
泰州	兴化城投供水集团-区域供水
泰州	兴化市兴合供水
泰州	兴化市城投供水（集团）有限公司
泰州	兴化市永丰供水
泰州	兴化市自来水总公司
泰州	泰兴市自来水有限公司
泰州	泰州市姜城水务有限责任公司
泰州	泰州市姜堰区张甸供水服务有限公司
泰州	泰州市永安自来水有限公司
泰州	泰州市润溱水务有限公司
泰州	泰州市淤溪供水服务有限公司
泰州	泰州市金源水务有限公司
泰州	泰州市高港自来水有限公司
泰州	泰州龙源水务
泰州	苏陈顺和水务
泰州	靖江市华汇水务集团有限公司
宿迁	江苏新源水务有限公司
宿迁	江苏浦华沭源自来水有限公司
宿迁	江苏深水水务有限公司
宿迁	江苏联合水务科技股份有限公司
宿迁	沭阳县城乡水务发展有限公司
宿迁	泗洪博世科水务有限公司
宿迁	泗洪县集泰自来水有限公司
杭州	杭州余杭水务控股集团有限公司
杭州	杭州市水务集团有限公司
杭州	杭州萧山供水有限公司
杭州	建德市大同新昌自来水有限公司
杭州	建德市水务有限公司
杭州	杭州临安水务有限公司
杭州	杭州富阳水务有限公司
杭州	杭州市临安区农村水务资产经营有限公司
杭州	杭州建德自来水有限公司
杭州	杭州滨江水务有限公司
杭州	桐庐水务有限公司
杭州	桐庐泓源水务有限公司
杭州	淳安县水务有限公司
宁波	宁波市水务环境集团股份有限公司
宁波	余姚市姚东自来水有限公司
宁波	余姚市富陆自来水有限公司
宁波	余姚市泗门自来水有限公司
宁波	余姚市自来水有限公司
宁波	余姚市长丰自来水厂
宁波	余姚市隐溪自来水有限责任公司
宁波	宁波大榭开发区自来水有限公司
宁波	宁波市奉化区水务有限公司
宁波	宁波市奉化区萧王庙自来水厂
宁波	宁波市奉化溪口自来水有限公司
宁波	宁波市鄞州瞻岐自来水有限公司
宁波	宁波杭州湾新区自来水有限公司
宁波	宁海县水务集团有限公司
宁波	慈溪市慈东自来水有限公司
宁波	慈溪市横河自来水厂
宁波	慈溪市自来水有限公司
宁波	象山县爵溪自来水有限公司
宁波	象山县第一自来水有限公司
宁波	象山县第三自来水有限公司
宁波	象山县第二自来水有限公司
温州	温州公用自来水公司
温州	永嘉县枫林镇供水有限公司
温州	永嘉水务银泉自来水分公司
温州	温州公用乐清水务
温州	温州公用平阳水务
温州	温州公用文成水务
温州	温州公用永嘉水务
温州	温州公用泰顺水务
温州	温州公用瑞安水务
温州	温州公用苍南水务
温州	温州公用龙港水务
温州	苍南县仙居天源自来水有限公司
温州	苍南县宜山镇珠山自来水厂
温州	苍南县新安环川自来水有限公司
温州	苍南县望里自来水厂
温州	龙港市鲸头自来水厂
嘉兴	嘉兴市自来水有限公司
嘉兴	嘉兴港区供水有限责任公司(乍浦)
嘉兴	嘉善县幽澜自来水有限公司
嘉兴	嘉善县水务投资有限公司
嘉兴	平湖市自来水有限公司
嘉兴	桐乡市凤栖自来水有限公司
嘉兴	海宁上塘水务有限公司
嘉兴	海宁市水务投资集团有限公司
嘉兴	海盐县天仙河自来水经营有限公司
湖州	长兴清泉供水有限公司
湖州	湖州市水务集团有限公司
湖州	安吉双源自来水有限公司
湖州	安吉思源供水有限公司
湖州	德清县士林益康水务有限公司
湖州	德清县康益自来水有限公司
湖州	德清县新安镇利民水务有限公司
湖州	德清县水务有限公司
湖州	德清县钟管镇辉山水务有限公司
湖州	浙江安吉水务有限公司
湖州	浙江长兴水务有限公司
湖州	长兴小浦清泉水务
绍兴	嵊州市自来水
绍兴	新昌县农村供水
绍兴	上虞区农村供水
绍兴	新昌县自来水有限公司
绍兴	新昌县西桥弄自来水有限公司
绍兴	浣江水务股份有限公司(诸暨市自来水)
绍兴	绍兴市上虞区供水有限公司
绍兴	绍兴市水务产业有限公司
绍兴	绍兴柯桥供水有限公司
金华	义乌市自来水有限公司
金华	义乌市城西自来水有限公司
金华	义乌市第二自来水有限公司
金华	东阳市三乡水务有限公司
金华	东阳市思源供水有限公司
金华	东阳市横店自来水有限公司
金华	东阳市自来水有限公司
金华	义乌市第三自来水有限公司
金华	兰溪市钱江水务有限公司
金华	武义县城市自来水有限公司
金华	武义县振兴乡村水务有限公司
金华	永康市自来水有限公司
金华	永康市钱江水务有限公司
金华	永康市钱江芝水水务有限公司
金华	浦江县城乡自来水有限公司
金华	浦江水务集团有限公司
金华	磐安县清泉水务有限公司
金华	磐安县自来水有限公司
金华	磐安江南药镇供水有限公司
金华	金华市自来水有限公司
金华	金华市金西自来水有限公司
衢州	常山县水务发展投资有限公司
衢州	开化县水务有限公司
衢州	开化县润民水务有限公司
衢州	江山市水务有限公司
衢州	龙游华水农村供水发展有限公司
舟山	岱山县秀山乡自来水厂
舟山	嵊泗县自来水有限公司
舟山	浙江岱山衢投水务有限公司
舟山	舟山市自来水有限公司
台州	浙江永安水务集团有限公司
台州	天台县水务集团有限公司
台州	临海市供水有限公司
台州	台州市椒北供水有限公司
台州	台州市路桥自来水有限公司
台州	台州市黄岩城乡自来水有限公司
台州	台州市黄岩宁川供水有限公司
台州	台州椒江洪家自来水厂
台州	台州自来水有限公司
台州	温岭市供水有限公司
台州	温岭市泽国自来水有限公司
台州	玉环市自来水有限公司
丽水	松阳县润阳供水有限责任公司
丽水	缙云县壶镇供水有限公司
丽水	青田县水务有限公司
合肥	三河自来水
合肥	合肥水务集团有限公司
合肥	合肥龙岗自来水
合肥	庐江县供水集团有限责任公司
合肥	磨墩供水
合肥	肥东县供水有限公司
合肥	肥西自来水有限公司
合肥	长丰县自来水有限责任公司
芜湖	芜湖华衍水务
芜湖	南陵陵都供水有限公司
芜湖	安徽省南陵县供水有限公司
芜湖	安徽省江北华衍水务有限公司
芜湖	无为县供水公司
芜湖	无为市濡须供水有限公司
芜湖	芜湖津江供水有限公司
芜湖	芜湖首创水务有限责任公司
蚌埠	五河中环水务有限公司
蚌埠	五河县小圩镇下黄自来水厂
蚌埠	五河县洁康自来水厂
蚌埠	固镇中环水务有限公司
蚌埠	固镇中环水务有限公司经开区分公司
蚌埠	固镇县刘集镇腾达自来水厂
蚌埠	固镇县新马桥镇怀洪自来水厂
蚌埠	怀远中环水务有限公司
蚌埠	怀远县万福亿达自来水厂
蚌埠	怀远县双桥恒旺自来水厂
蚌埠	怀远县古城乡坤裕自来水厂
蚌埠	怀远县淝南乡永达自来水厂
蚌埠	怀远县淝河利民自来水厂
蚌埠	怀远县荆芡源泉自来水厂
蚌埠	怀远县褚集益民自来水有限公司
蚌埠	怀远县诚达水务有限公司
蚌埠	怀远县魏庄镇洁康自来水厂
蚌埠	怀远县龙亢镇绿源自来水厂
蚌埠	蚌埠中环水务有限公司
蚌埠	蚌埠市临河水务有限公司
淮南	凤台华水水务有限责任公司
淮南	凤台县泉润自来水有限公司
淮南	淮南市民利自来水销售有限公司
淮南	淮南毛集首创水务有限责任公司
淮南	淮南首创水务
马鞍山	和县和州自来水有限公司
马鞍山	安徽省含山县自来水厂
马鞍山	当涂华水水务有限公司
马鞍山	当涂县太白镇华业自来水厂
马鞍山	马鞍山华衍水务有限公司
马鞍山	马鞍山市丰盛薛津供水有限公司
马鞍山	马鞍山横望水务有限公司
马鞍山	马鞍山港润水务有限公司
马鞍山	马鞍山首创水务有限责任公司
淮北	淮北市供水有限责任公司
淮北	濉溪供水有限责任公司
淮北	濉溪县思源供水有限公司
淮北	濉溪县自来水公司
淮北	濉溪县自来水公司开发区分公司
铜陵	铜陵首创水务有限责任公司
铜陵	枞阳县横埠水务有限公司
铜陵	枞阳县自来水有限责任公司
铜陵	枞阳首创水务有限责任公司
铜陵	铜陵东城水务有限责任公司
铜陵	铜陵市义安区自来水有限责任公司
铜陵	铜陵悦江首创供水有限责任公司
安庆	北控水务（望江）有限公司
安庆	太湖县利源自来水厂
安庆	太湖县大石乡泊湖自来水厂
安庆	太湖县江塘自来水厂
安庆	太湖县牛镇兴利自来水厂
安庆	太湖县百里镇百康自来水厂
安庆	太湖县自来水有限责任公司
安庆	太湖县龙山水务投资有限公司
安庆	太湖县龙山腾达供水有限公司
安庆	安庆市伊秀水务有限责任公司
安庆	安庆水务集团有限公司
安庆	宿松下仓自来水有限公司
安庆	宿松县二郎镇自来水有限公司
安庆	宿松县兹元水务集团有限公司
安庆	宿松县华阳河自来水厂
安庆	宿松县城东自来水厂
安庆	宿松县复兴镇自来水供水有限公司
安庆	宿松县松兹自来水有限公司
安庆	岳西供水
安庆	岳西县店前自来水有限公司
安庆	岳西县菖蒲自来水有限公司
安庆	怀宁县黄墩自来水有限公司
安庆	怀宁城乡供水集团有限公司
安庆	望江县太慈镇沈冲自来水厂
安庆	望江县宏源自来水有限公司
安庆	望江县思源水务高士供水
安庆	望江县慈和自来水有限责任公司
安庆	望江县第二自来水有限责任公司
安庆	望江县雷池莲洲金红自来水厂
安庆	桐城市卅铺自来水有限责任公司
安庆	桐城市吕亭自来水有限公司
安庆	桐城市城乡供水集团有限公司
安庆	桐城市新渡自来水
安庆	桐城市青草自来水有限公司
安庆	潜山县双峰自来水有限公司
安庆	潜山县源潭自来水厂
安庆	潜山天柱山自来水公司
安庆	潜山市舒州供水集团有限公司
黄山	休宁县供水有限责任公司
黄山	歙县自来水有限公司
黄山	祁门县钱水水务有限公司
黄山	黄山区(太平)自来水公司
黄山	黄山市徽州区潜口自来水有限公司
黄山	黄山市徽州区自来水有限公司
黄山	黄山水务控股集团有限公司
黄山	黟县国有自来水有限公司
滁州	全椒县全润供水有限公司
滁州	凤阳县益民供水有限责任公司
滁州	凤阳明中都水务集团有限公司
滁州	南谯水务
滁州	天长市仁和集镇芦龙自来水厂
滁州	天长市城发水务广陵街道水费
滁州	天长市城发水务有限公司
滁州	天长市城发水务有限公司万寿分公司
滁州	天长市城发水务有限公司仁和分公司
滁州	天长市城发水务有限公司冶山分公司
滁州	天长市城发水务有限公司金集分公司
滁州	天长市富民自来水厂
滁州	天长市釜山自来水有限公司
滁州	天长市铜城镇自来水厂
滁州	定远县城乡水务投资建设有限公司
滁州	新泉自来水（明光）有限公司
滁州	施官自来水厂
滁州	明光明诚供水集团有限公司
滁州	来安县永阳水务公司农村分公司
滁州	来安县永阳水务公司城市分公司
滁州	来安县粤海供水
滁州	来安县自来水厂
滁州	滁州市自来水公司
滁州	王店自来水厂
滁州	龙泉水务（天长）有限公司
阜阳	临泉县土陂宇博自来水有限公司
阜阳	临泉县大陈自来水有限公司
阜阳	临泉县永源自来水有限公司
阜阳	临泉徽润供水有限公司
阜阳	太和供水集团有限公司
阜阳	安徽利翔水务有限公司
阜阳	界首市亚杰供水服务有限公司
阜阳	界首市城乡水务集团有限公司
阜阳	阜南县清净水务有限公司
阜阳	阜南首创水务有限责任公司
阜阳	阜阳市供水有限公司（阜阳市区）
阜阳	颍上县城乡水务有限公司
阜阳	颍上首创水务有限责任公司
宿州	埇桥水务
宿州	安徽海纳水务有限公司
宿州	安徽磬乡水务有限公司
宿州	宿州市埇桥区金鑫自来水服务中心
宿州	宿州市徽泽水务有限公司
宿州	宿州市新区水务有限公司
宿州	宿州市水务集团有限公司
宿州	宿州市汴水源水务有限公司
宿州	宿州市清淼水务有限公司
宿州	宿州市鑫淼水务有限公司
宿州	泗县首创水务有限责任公司
宿州	灵璧县光明自来水厂
宿州	灵璧县惠民农村供水有限公司
宿州	砀山中环水务有限公司
宿州	萧县云水水务投资有限公司
宿州	萧县彤萍自来水厂（高庄水厂）
宿州	萧县民生水务有限公司
宿州	萧县永源自来水有限公司
宿州	萧县深岩水务有限公司
宿州	萧县碧水星城供水有限公司
宿州	萧县祖楼自来水厂
宿州	萧县青龙镇高丹自来水厂
六安	三十铺镇利民供水公司
六安	六安市城南供水有限公司
六安	六安市清泉水务有限公司
六安	六安市清源自来水有限公司
六安	六安市裕安区钱集供水站
六安	六安市裕安自来水厂
六安	六安市裕源供水有限责任公司
六安	姚李供水有限公司
六安	舒城县五显自来水厂
六安	舒城县杭城自来水有限公司
六安	舒城县自来水有限公司
六安	金寨金叶供水有限公司
六安	霍山县乡源供水有限公司
六安	霍山县清源供水有限责任公司
六安	霍邱县自来水有限责任公司
亳州	亳州市自来水公司
亳州	亳州盛源水务有限公司
亳州	利辛县自来水公司
亳州	涡阳县乐行水务集团有限公司
亳州	蒙城县三义自来水厂
亳州	蒙城县惠民自来水有限公司篱笆水厂
亳州	蒙城自来水厂
池州	东至供水
池州	东至县东流自来水厂
池州	东至县泽农供水有限责任公司
池州	东至龙江供水
池州	池州临江水务有限公司
池州	池州市供水有限公司
池州	池州市大渡口供水有限公司
池州	池州市贵池区晏塘自来水厂
池州	池州金桥水务有限公司
池州	石台县供水有限公司
宣城	宁国水务有限公司
宣城	宣城市双桥自来水厂
宣城	宣城市宣州区周王自来水厂
宣城	宣城市开源水务集团有限公司
宣城	宣城市新建自来水有限责任公司
宣城	宣城市新田自来水厂
宣城	宣城市水务有限公司
宣城	宣城市盛业自来水有限公司
宣城	宣城市黄渡自来水厂
宣城	宣城狸桥胜业自来水公司
宣城	广德市新东方水务有限公司
宣城	旌德县供水公司
宣城	旌德县新建自来水有限责任公司
宣城	泾县昌桥自来水厂
宣城	泾县自来水有限公司
宣城	绩溪县城市供水有限公司
宣城	郎溪郎源自来水有限责任公司
福州	福州市自来水有限公司
福州	平潭水务公司
福州	流水威隆自来水供水公司
福州	福州南港水务有限公司
福州	福州市长乐区城乡水务有限公司
福州	福州市长乐区远航供水有限责任公司
福州	福州市长乐区金峰自来水公司
福州	福州旗山供水有限公司
福州	福州滨海水务
福州	福州胜科水务有限公司
福州	福建水投集团福清水务有限公司
福州	闽侯县三溪口自来水有限公司
福州	闽侯县自来水有限公司
厦门	厦门市安兜自来水有限公司
厦门	厦门市政水务集团有限公司
厦门	厦门舫山供水有限公司
莆田	仙游县自来水有限公司
莆田	莆田壶山自来水有限公司
莆田	莆田市埭头半岛供水有限公司
莆田	莆田市水务集团涵江自来水有限公司
莆田	莆田市湄洲湾自来水有限公司
莆田	莆田市秀屿区通达供水有限公司
莆田	莆田市自来水有限公司
三明	尤溪水务有限公司
三明	永安市自来水有限责任公司
三明	福建恒源供水股份有限公司
三明	福建水投集团大田水务有限公司
三明	福建水投集团建宁水务有限公司
三明	福建水投集团明溪水务有限公司
三明	福建水投集团沙县水务有限公司
三明	福建水投集团泰宁水务有限公司
泉州	泉州市自来水有限公司
泉州	南安市仑苍联兴供水有限公司
泉州	德化县自来水有限公司
泉州	惠安县城乡供水有限责任公司
泉州	晋江市金井金泉自来水有限公司
泉州	泉州台商投资区自来水有限公司
泉州	泉州安平供水有限公司
泉州	泉州市晋江永源自来水有限公司
泉州	泉州永春水务有限公司
泉州	泉州永春水务有限公司（乡镇）
泉州	泉州金浦供水有限公司
泉州	泉港区水利水务建设发展有限公司
泉州	福建省南安市水头供水有限公司
泉州	福建省南安市自来水公司
泉州	福建省安溪县自来水有限公司
泉州	福建省晋江自来水股份有限公司
泉州	福建省石狮供水股份有限公司
漳州	东山水务有限公司
漳州	云霄水务有限公司
漳州	南靖县水务有限公司
漳州	平和县自来水公司
漳州	漳州发展水务集团有限公司
漳州	漳州市古雷水务发展有限公司
漳州	漳州市角美自来水有限公司
漳州	漳州市长泰区兴泰水务有限公司
漳州	漳州市龙池水务有限公司
漳州	漳州开发区招商水务有限公司
